8_5,"[1/2, 1/3, 1/3]"
8_10,"[1/2, 2/3, 1/3]"
8_15,"[1/2, 2/3, 2/3]"
8_19,"[1/2, -2/3, 1/3]"
8_20,"[1/2, 2/3, -2/3]"
8_21,"[1/2, 2/3, -1/3]"
9_16,"[1/2, 1/3, 4/3]"
9_22,"[1/2, 1/3, 3/5]"
9_24,"[1/2, 2/3, 4/3]"
9_25,"[1/2, 2/3, 2/5]"
9_28,"[1/2, 2/3, 5/3]"
9_30,"[1/2, 2/3, 3/5]"
9_35,"[1/3, 1/3, 1/3]"
9_36,"[1/2, 1/3, 2/5]"
9_37,"[2/3, 2/3, 1/3]"
9_42,"[1/2, -2/3, 2/5]"
9_43,"[1/2, -2/3, 3/5]"
9_44,"[1/2, 2/3, -3/5]"
9_45,"[1/2, 2/3, -2/5]"
9_46,"[2/3, -2/3, 1/3]"
9_48,"[2/3, 2/3, -1/3]"
10_46,"[1/2, 1/3, 1/5]"
10_47,"[1/2, 2/3, 1/5]"
10_48,"[1/2, 1/3, 4/5]"
10_49,"[1/2, 2/3, 4/5]"
10_50,"[1/2, 1/3, 3/7]"
10_51,"[1/2, 2/3, 3/7]"
10_52,"[1/2, 1/3, 4/7]"
10_53,"[1/2, 2/3, 4/7]"
10_54,"[1/2, 1/3, 2/7]"
10_55,"[1/2, 2/3, 2/7]"
10_56,"[1/2, 1/3, 5/7]"
10_57,"[1/2, 2/3, 5/7]"
10_58,"[1/2, 2/5, 2/5]"
10_59,"[1/2, 3/5, 2/5]"
10_60,"[1/2, 3/5, 3/5]"
10_61,"[1/3, 1/3, 1/4]"
10_62,"[2/3, 1/3, 1/4]"
10_63,"[2/3, 2/3, 1/4]"
10_64,"[1/3, 1/3, 3/4]"
10_65,"[2/3, 1/3, 3/4]"
10_66,"[2/3, 2/3, 3/4]"
10_67,"[2/3, 1/3, 2/5]"
10_68,"[1/3, 1/3, 3/5]"
10_69,"[2/3, 2/3, 3/5]"
10_70,"[1/2, 1/3, 7/5]"
10_71,"[1/2, 2/3, 7/5]"
10_72,"[1/2, 1/3, 8/5]"
10_73,"[1/2, 2/3, 8/5]"
10_74,"[2/3, 1/3, 4/3]"
10_75,"[2/3, 2/3, 5/3]"
10_76,"[1/2, 1/3, 7/3]"
10_77,"[1/2, 2/3, 7/3]"
10_78,"[1/2, 2/3, 8/3]"
10_124,"[1/2, -2/3, 1/5]"
10_125,"[1/2, 2/3, -4/5]"
10_126,"[1/2, -2/3, 4/5]"
10_127,"[1/2, 2/3, -1/5]"
10_128,"[1/2, -2/3, 3/7]"
10_129,"[1/2, 2/3, -4/7]"
10_130,"[1/2, -2/3, 4/7]"
10_131,"[1/2, 2/3, -3/7]"
10_132,"[1/2, -2/3, 2/7]"
10_133,"[1/2, 2/3, -5/7]"
10_134,"[1/2, -2/3, 5/7]"
10_135,"[1/2, 2/3, -2/7]"
10_136,"[1/2, -3/5, 2/5]"
10_137,"[1/2, 3/5, -3/5]"
10_138,"[1/2, 3/5, -2/5]"
10_139,"[2/3, -1/3, -1/4]"
10_140,"[2/3, -2/3, 1/4]"
10_141,"[2/3, 2/3, -3/4]"
10_142,"[2/3, -1/3, -3/4]"
10_143,"[2/3, -2/3, 3/4]"
10_144,"[2/3, 2/3, -1/4]"
10_145,"[2/3, -1/3, -2/5]"
10_146,"[2/3, 2/3, -3/5]"
10_147,"[2/3, -2/3, 3/5]"
11a1,"[1/2, 3/5, 5/7]"
11a4,"[1/2, 3/5, 2/7]"
11a5,"[1/2, 3/5, 7/5]"
11a6,"[1/2, 3/5, 8/5]"
11a7,"[1/2, 3/5, 4/5]"
11a8,"[1/2, 3/5, 4/7]"
11a9,"[1/2, 3/5, 1/5]"
11a10,"[1/2, 3/5, 3/7]"
11a11,"[1/2, 2/3, 13/5]"
11a12,"[1/2, 1/3, 13/5]"
11a16,"[1/2, 2/3, 7/9]"
11a21,"[1/2, 2/3, 2/9]"
11a23,"[1/2, 2/3, 9/7]"
11a31,"[1/2, 2/3, 8/11]"
11a32,"[1/2, 2/3, 8/13]"
11a33,"[1/2, 2/3, 3/11]"
11a34,"[1/2, 2/3, 7/11]"
11a35,"[1/2, 2/3, 5/13]"
11a36,"[1/2, 2/3, 12/7]"
11a37,"[1/2, 2/3, 5/9]"
